0.0000,0.0620,0.2212,0.7737,0.8914,0.3558,0.8841,0.3683,0.4813,0.9733,0.8067,0.4342,0.6242,0.5251,0.8836,0.0312,0.3611,0.2433,0.4185,0.0676,0.9861,0.4843,0.2516,0.2823,0.0692,0.7023,0.1701,0.8953,0.7516,0.3452,0.6491,0.7153,0.3915,0.5236,0.7424,0.7830,0.6805,0.0051,0.9411,0.7198,0.5498,0.2257,0.7721,0.9099,0.5456,0.2935,0.1784,0.8334,0.7501,0.3141,0.5115,0.0731,0.5666,0.8457,0.0130,0.4936,0.9092,0.4032,0.1753,0.0751,0.2485,0.8840,0.9830,0.4328,0.2972,0.2523,0.5795,0.4541,0.6527,0.7148,0.2504,0.3980,0.3387,0.4838,0.5227,0.3281,0.9441,0.3653,0.5617,0.7024,0.3531,0.0605,0.0832,0.5522,0.1519,0.6144,0.0524,0.7124,0.3038,0.9432,0.7135,0.8539,0.1735,0.8889,0.3328,0.4032,0.2393,0.6829,0.8590,0.2091
0.0620,0.0000,0.3914,0.4281,0.8092,0.8190,0.5825,0.3631,0.0492,0.1449,0.3692,0.5380,0.5493,0.2864,0.2217,0.3501,0.1521,0.9760,0.3146,0.9019,0.4346,0.5558,0.2496,0.0752,0.1343,0.6134,0.9636,0.2883,0.4959,0.8735,0.5432,0.6591,0.5079,0.4031,0.4796,0.2058,0.8441,0.0911,0.1705,0.0086,0.4470,0.4437,0.2034,0.6103,0.3082,0.4408,0.7614,0.9945,0.4060,0.0430,0.6457,0.7122,0.2867,0.2478,0.8257,0.6978,0.0702,0.3713,0.8337,0.9052,0.4521,0.3173,0.6472,0.2093,0.4679,0.3187,0.4531,0.4135,0.9556,0.5921,0.0755,0.1872,0.8975,0.6392,0.5638,0.9660,0.6939,0.4885,0.0504,0.5369,0.7404,0.4756,0.9953,0.3973,0.3281,0.9740,0.1517,0.0366,0.9054,0.4079,0.6770,0.8424,0.4716,0.3236,0.4979,0.9082,0.2375,0.9139,0.5991,0.7973
0.2212,0.3914,0.0000,0.0927,0.4010,0.8573,0.7596,0.0318,0.6174,0.0621,0.8532,0.7209,0.6037,0.5899,0.5985,0.2488,0.1005,0.3174,0.3377,0.9548,0.1766,0.9110,0.5324,0.3203,0.8030,0.9949,0.0634,0.8203,0.9162,0.2997,0.5028,0.5627,0.0505,0.3006,0.7812,0.8399,0.8721,0.3089,0.3686,0.4878,0.4524,0.5150,0.9990,0.6415,0.8667,0.4169,0.5870,0.0087,0.4539,0.4379,0.7150,0.6787,0.8502,0.3346,0.6781,0.9218,0.7538,0.8378,0.7697,0.6946,0.4329,0.9249,0.0440,0.0552,0.6472,0.7013,0.7767,0.5441,0.3942,0.7247,0.4277,0.7546,0.7827,0.5882,0.4815,0.9704,0.3150,0.5105,0.8339,0.8314,0.3875,0.9067,0.3728,0.5011,0.3209,0.9878,0.3541,0.2017,0.1992,0.3259,0.3971,0.5606,0.8009,0.9224,0.0629,0.5069,0.3487,0.7421,0.7459,0.2865
0.7737,0.4281,0.0927,0.0000,0.1029,0.5789,0.8729,0.3393,0.6581,0.5953,0.0052,0.2866,0.6037,0.3815,0.6144,0.2943,0.3986,0.7459,0.6835,0.5736,0.2031,0.2808,0.6281,0.0646,0.0846,0.2008,0.7959,0.0760,0.1277,0.2573,0.0728,0.4245,0.3701,0.8227,0.8057,0.2831,0.2785,0.3733,0.9478,0.1907,0.6169,0.8207,0.5857,0.6734,0.9540,0.7881,0.9402,0.6523,0.5011,0.6529,0.8505,0.8407,0.3972,0.5236,0.7192,0.1056,0.4932,0.4349,0.3608,0.9087,0.1066,0.5836,0.1695,0.6923,0.0780,0.8436,0.0593,0.5450,0.9745,0.6710,0.0334,0.3224,0.9629,0.9569,0.4174,0.6448,0.7778,0.6799,0.4249,0.7116,0.4167,0.1952,0.9025,0.0598,0.2023,0.7955,0.4930,0.4630,0.1238,0.4338,0.5075,0.3164,0.5191,0.1405,0.9813,0.7348,0.0936,0.2407,0.9135,0.6454
0.8914,0.8092,0.4010,0.1029,0.0000,0.7409,0.4471,0.6246,0.6193,0.6316,0.7428,0.4826,0.8392,0.5769,0.6127,0.8568,0.2143,0.9394,0.1791,0.5098,0.9225,0.9295,0.8276,0.6638,0.2527,0.6146,0.2354,0.4443,0.7600,0.7944,0.9587,0.4048,0.3850,0.0426,0.1744,0.4489,0.4040,0.6889,0.0382,0.5504,0.4942,0.1863,0.9128,0.9459,0.2333,0.9908,0.6985,0.8763,0.2081,0.2622,0.1398,0.6649,0.8396,0.9111,0.7851,0.7989,0.2224,0.5096,0.9603,0.3005,0.0858,0.0344,0.4702,0.6681,0.8019,0.2678,0.5211,0.4201,0.5938,0.1748,0.6225,0.2638,0.6833,0.6104,0.8493,0.8464,0.8021,0.9735,0.2045,0.5718,0.4744,0.7412,0.8660,0.0091,0.4449,0.0786,0.7843,0.8730,0.9794,0.1091,0.8968,0.5579,0.3410,0.8658,0.1097,0.2398,0.6430,0.4892,0.7203,0.0381
0.3558,0.8190,0.8573,0.5789,0.7409,0.0000,0.9238,0.6035,0.1862,0.4284,0.2483,0.4218,0.3639,0.7715,0.7982,0.0964,0.9408,0.9235,0.7946,0.2478,0.3338,0.2736,0.2372,0.7225,0.9667,0.1227,0.7057,0.2901,0.7717,0.6279,0.8370,0.7630,0.2553,0.1293,0.0566,0.5423,0.6334,0.6724,0.2612,0.5999,0.7995,0.1084,0.2839,0.9616,0.7512,0.1017,0.8060,0.1662,0.4077,0.5114,0.3884,0.6836,0.3362,0.9634,0.4413,0.4833,0.9092,0.2315,0.3244,0.8143,0.1661,0.3956,0.2237,0.8486,0.1682,0.6653,0.5288,0.0700,0.9668,0.1336,0.4361,0.8070,0.1005,0.5163,0.4211,0.2852,0.4773,0.7275,0.9280,0.0419,0.3198,0.0404,0.9073,0.0653,0.2010,0.3714,0.0664,0.7583,0.6516,0.0437,0.8579,0.7210,0.5150,0.5266,0.0369,0.8868,0.9427,0.9162,0.1519,0.1155
0.8841,0.5825,0.7596,0.8729,0.4471,0.9238,0.0000,0.9708,0.9266,0.0897,0.0491,0.1626,0.0655,0.1426,0.4107,0.3875,0.5635,0.6977,0.2474,0.0428,0.9639,0.8107,0.8515,0.2904,0.3261,0.7277,0.8984,0.8049,0.0538,0.7721,0.7867,0.2261,0.2374,0.3972,0.4265,0.1046,0.5582,0.2458,0.8790,0.9353,0.8728,0.8264,0.5706,0.1421,0.2534,0.2401,0.4901,0.9150,0.1660,0.2881,0.6340,0.2361,0.4731,0.4012,0.6979,0.3524,0.5944,0.5573,0.3417,0.0380,0.4496,0.5326,0.2481,0.2647,0.8646,0.3533,0.1121,0.2863,0.0056,0.2085,0.6373,0.1709,0.6119,0.0212,0.5752,0.4024,0.3353,0.1214,0.5566,0.5067,0.3834,0.1736,0.6112,0.9612,0.2045,0.2437,0.0107,0.0443,0.4586,0.8200,0.2083,0.6514,0.9676,0.9271,0.2217,0.7810,0.2261,0.2520,0.1018,0.1453
0.3683,0.3631,0.0318,0.3393,0.6246,0.6035,0.9708,0.0000,0.7935,0.3478,0.0659,0.6963,0.0643,0.8946,0.7170,0.0037,0.5683,0.9896,0.5162,0.6854,0.0430,0.6177,0.6713,0.5150,0.3274,0.4697,0.1686,0.5010,0.9712,0.2567,0.7861,0.5339,0.1859,0.5047,0.5105,0.5022,0.7111,0.9769,0.6434,0.9625,0.3050,0.3440,0.8340,0.4124,0.8736,0.0812,0.0004,0.8369,0.7339,0.6725,0.9122,0.5450,0.9859,0.9445,0.0886,0.9778,0.3882,0.7729,0.0771,0.4993,0.4506,0.8039,0.3975,0.1553,0.6698,0.4179,0.4532,0.4386,0.0887,0.8754,0.4516,0.1271,0.1432,0.1423,0.5178,0.1906,0.6455,0.3776,0.3020,0.3932,0.2304,0.5297,0.5455,0.3522,0.6339,0.1958,0.1390,0.2856,0.7047,0.0229,0.3242,0.3971,0.2012,0.4165,0.5700,0.3472,0.3823,0.5707,0.7439,0.3721
0.4813,0.0492,0.6174,0.6581,0.6193,0.1862,0.9266,0.7935,0.0000,0.5543,0.5486,0.2650,0.1664,0.7038,0.3399,0.0953,0.2585,0.9151,0.6997,0.1863,0.9171,0.1944,0.8443,0.7131,0.7746,0.1287,0.6665,0.0214,0.1466,0.0007,0.0484,0.4240,0.6178,0.8104,0.1601,0.4166,0.4678,0.5706,0.6816,0.0022,0.1194,0.4383,0.8919,0.9044,0.5714,0.9556,0.5807,0.1509,0.9608,0.0383,0.8896,0.1511,0.1617,0.5797,0.0460,0.9363,0.6640,0.2122,0.8126,0.9062,0.5385,0.7287,0.0086,0.6945,0.0934,0.0228,0.2594,0.9828,0.5933,0.5438,0.4485,0.5253,0.4233,0.3714,0.1937,0.0631,0.8957,0.4414,0.5088,0.3011,0.8383,0.2594,0.6052,0.0680,0.9873,0.3315,0.6528,0.2616,0.9743,0.4234,0.0089,0.3879,0.7966,0.4937,0.7909,0.9852,0.6645,0.9517,0.2810,0.0040
0.9733,0.1449,0.0621,0.5953,0.6316,0.4284,0.0897,0.3478,0.5543,0.0000,0.3435,0.5730,0.6720,0.9990,0.9870,0.6971,0.3125,0.1860,0.2910,0.7208,0.3044,0.4410,0.8360,0.7651,0.4287,0.0663,0.0210,0.2029,0.1251,0.1360,0.4900,0.6843,0.9702,0.8906,0.3001,0.4428,0.7529,0.4698,0.9000,0.9311,0.4283,0.7819,0.2501,0.4013,0.3333,0.0484,0.9094,0.4997,0.1906,0.2282,0.8071,0.5091,0.6975,0.0980,0.2771,0.6002,0.5968,0.6069,0.9012,0.8376,0.4681,0.2285,0.9608,0.7737,0.0378,0.5671,0.9420,0.4371,0.7516,0.3511,0.4078,0.1627,0.0530,0.4685,0.2205,0.0414,0.9382,0.4619,0.3765,0.9866,0.9617,0.7929,0.7932,0.8512,0.7620,0.5070,0.5474,0.9988,0.9728,0.2678,0.5934,0.3007,0.8220,0.8160,0.8545,0.8017,0.2825,0.5070,0.8713,0.0996
